Start station,Start time,End station,End time
190,2016-12-01 07:51:31 +0100,275,2016-12-01 08:01:17 +0100
245,2016-12-01 07:51:38 +0100,297,2016-12-01 08:01:40 +0100
191,2016-12-01 07:51:44 +0100,306,2016-12-01 07:54:26 +0100
274,2016-12-01 07:52:00 +0100,279,2016-12-01 07:57:35 +0100
198,2016-12-01 07:52:03 +0100,261,2016-12-01 08:00:23 +0100
161,2016-12-01 07:52:39 +0100,211,2016-12-01 07:58:06 +0100
274,2016-12-01 07:53:15 +0100,211,2016-12-01 08:00:07 +0100
167,2016-12-01 07:53:18 +0100,181,2016-12-01 08:00:21 +0100
167,2016-12-01 07:53:19 +0100,243,2016-12-01 07:58:08 +0100
277,2016-12-01 07:53:28 +0100,181,2016-12-01 07:58:22 +0100
274,2016-12-01 07:53:37 +0100,247,2016-12-01 07:57:44 +0100
269,2016-12-01 07:53:44 +0100,269,2016-12-01 07:54:10 +0100
228,2016-12-01 07:53:54 +0100,281,2016-12-01 07:59:53 +0100
198,2016-12-01 07:54:00 +0100,232,2016-12-01 08:03:05 +0100
195,2016-12-01 07:54:02 +0100,278,2016-12-01 07:59:31 +0100
267,2016-12-01 07:54:05 +0100,211,2016-12-01 08:04:39 +0100
251,2016-12-01 07:54:23 +0100,267,2016-12-01 08:04:28 +0100
179,2016-12-01 07:54:23 +0100,277,2016-12-01 08:00:08 +0100
269,2016-12-01 07:54:27 +0100,269,2016-12-01 07:55:26 +0100
273,2016-12-01 07:54:37 +0100,238,2016-12-01 08:04:46 +0100
157,2016-12-01 07:54:41 +0100,175,2016-12-01 07:57:18 +0100
219,2016-12-01 07:54:42 +0100,230,2016-12-01 08:00:32 +0100
269,2016-12-01 07:55:38 +0100,269,2016-12-01 07:56:53 +0100
229,2016-12-01 07:55:46 +0100,294,2016-12-01 07:58:59 +0100
294,2016-12-01 07:56:04 +0100,181,2016-12-01 07:58:52 +0100
271,2016-12-01 07:56:07 +0100,196,2016-12-01 07:58:55 +0100
202,2016-12-01 07:56:24 +0100,279,2016-12-01 08:03:29 +0100
267,2016-12-01 07:56:39 +0100,280,2016-12-01 08:00:19 +0100
290,2016-12-01 07:56:39 +0100,267,2016-12-01 08:05:57 +0100
179,2016-12-01 07:56:41 +0100,242,2016-12-01 08:04:02 +0100
261,2016-12-01 07:56:49 +0100,275,2016-12-01 07:59:54 +0100
290,2016-12-01 07:56:54 +0100,292,2016-12-01 08:01:19 +0100
269,2016-12-01 07:57:02 +0100,269,2016-12-01 07:57:24 +0100
210,2016-12-01 07:57:04 +0100,163,2016-12-01 08:04:15 +0100
291,2016-12-01 07:57:13 +0100,185,2016-12-01 08:03:01 +0100
269,2016-12-01 07:57:33 +0100,297,2016-12-01 08:10:59 +0100
247,2016-12-01 07:57:49 +0100,278,2016-12-01 08:02:33 +0100
210,2016-12-01 07:57:58 +0100,181,2016-12-01 08:06:35 +0100
161,2016-12-01 07:58:03 +0100,170,2016-12-01 08:05:23 +0100
266,2016-12-01 07:58:08 +0100,229,2016-12-01 08:03:44 +0100
219,2016-12-01 07:58:17 +0100,204,2016-12-01 08:10:13 +0100
202,2016-12-01 07:58:44 +0100,260,2016-12-01 08:05:25 +0100
277,2016-12-01 07:58:53 +0100,281,2016-12-01 08:02:04 +0100
